ID,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
2202,100000.0,good,Achapnyak,13,Shinararner St,4,Yerevan,111.0,http://www.myrealty.am/en/item/7117/4-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,10,3.0
727,37000.0,good,Achapnyak,14,Halabyan St,2,Yerevan,64.0,http://www.myrealty.am/en/item/21243/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,11,2.8
366,98000.0,newly repaired,Arabkir,16,Adonts St,3,Yerevan,95.0,http://www.myrealty.am/en/item/28105/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,4,3.2
655,33000.0,newly repaired,Shengavit,5,Manandyan St,1,Yerevan,46.0,http://www.myrealty.am/en/item/24722/1-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,1,2.8
847,40000.0,newly repaired,Davtashen,9,Davtashen 1 district,2,Yerevan,67.0,http://www.myrealty.am/en/item/30296/2-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,1,2.8
1820,125000.0,good,Center,5,Abovyan St,3,Yerevan,90.0,http://www.myrealty.am/en/item/222/apartment-for-sale-in-Yerevan,1,stone,2,2.6
2960,65000.0,newly repaired,Davtashen,9,Davtashen 1 district,3,Yerevan,97.0,http://www.myrealty.am/en/item/22178/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,9,2.8
706,175000.0,good,Center,6,Tumanyan St,2,Yerevan,65.0,http://www.myrealty.am/en/item/23601/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,2.8
2288,51000.0,newly repaired,Arabkir,9,Hr.Kochar St,2,Yerevan,64.0,http://www.myrealty.am/en/item/32708/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,8,2.8
1581,95000.0,newly repaired,Center,14,Argishti St,3,Yerevan,105.0,http://www.myrealty.am/en/item/37157/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,4,2.8
1311,73000.0,newly repaired,Center,11,Saryan St,2,Yerevan,72.0,http://www.myrealty.am/en/item/20760/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,8,2.8
8,143000.0,newly repaired,Center,9,Sayat Nova Ave,4,Yerevan,98.0,http://www.myrealty.am/en/item/34641/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
4790,33000.0,newly repaired,Shengavit,4,Chexov St,1,Yerevan,38.0,http://www.myrealty.am/en/item/31333/1-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,1,2.8
56,37000.0,good,Nor Norq,12,Gayi Ave,2,Yerevan,63.0,http://www.myrealty.am/en/item/10081/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,12,2.8
68,42000.0,newly repaired,Achapnyak,9,Nazarbekyan district,3,Yerevan,96.0,http://www.myrealty.am/en/item/32220/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,4,2.8
3709,78000.0,good,Center,5,Mashtots Ave,2,Yerevan,63.0,http://www.myrealty.am/en/item/19925/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,3,2.8
4825,110000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,106.0,http://www.myrealty.am/en/item/118/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,6,2.8
1358,130000.0,good,Arabkir,11,Hr.Kochar St,3,Yerevan,90.0,http://www.myrealty.am/en/item/37279/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,7,2.8
4767,56000.0,newly repaired,Davtashen,9,Davtashen 4 district,4,Yerevan,87.0,http://www.myrealty.am/en/item/29822/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,8,2.8
1964,47000.0,newly repaired,Achapnyak,9,Shiraz St,3,Yerevan,93.0,http://www.myrealty.am/en/item/14351/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,other,8,3.0
4281,58000.0,newly repaired,Arabkir,5,Mamikoniants St,2,Yerevan,70.0,http://www.myrealty.am/en/item/35545/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,3.0
3737,66000.0,newly repaired,Center,9,Koghbatsi St,2,Yerevan,47.0,http://www.myrealty.am/en/item/22150/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
1873,135000.0,zero condition,Center,10,Amiryan St,3,Yerevan,90.0,http://www.myrealty.am/en/item/24710/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,4,3.0
6777,35000.0,good,Nor Norq,9,Vilnyus St,3,Yerevan,98.0,http://www.myrealty.am/en/item/22275/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,1,2.8
850,40000.0,good,Qanaqer-Zeytun,4,Lepsus St,3,Yerevan,74.0,http://www.myrealty.am/en/item/29264/3-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,2,2.8
5101,45500.0,good,Arabkir,5,Hakobyan St,2,Yerevan,56.0,http://www.myrealty.am/en/item/36541/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,5,3.0
721,37000.0,newly repaired,Avan,4,Acharyan St,3,Yerevan,83.0,http://www.myrealty.am/en/item/22236/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,stone,4,2.6
3638,67000.0,newly repaired,Qanaqer-Zeytun,5,Lepsus St,3,Yerevan,110.0,http://www.myrealty.am/en/item/32324/3-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,4,2.8
3902,63000.0,newly repaired,Avan,1,Charents disrtict,3,Yerevan,82.0,http://www.myrealty.am/en/item/37190/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,other,1,2.8
1961,59000.0,newly repaired,Arabkir,9,A. Khachatrian St,3,Yerevan,80.0,http://www.myrealty.am/en/item/32959/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,8,2.8
3634,68000.0,newly repaired,Avan,14,Tsarav Aghbyur St,2,Yerevan,85.0,http://www.myrealty.am/en/item/37672/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,5,2.8
5692,60000.0,zero condition,Avan,3,Tsarav Aghbyur St,3,Yerevan,86.0,http://www.myrealty.am/en/item/26800/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,2,monolit,1,3.0
4977,50000.0,newly repaired,Achapnyak,16,16 District,3,Yerevan,78.0,http://www.myrealty.am/en/item/29258/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,8,2.6
2713,58000.0,newly repaired,Arabkir,5,Mamikoniants St,2,Yerevan,68.0,http://www.myrealty.am/en/item/20780/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
100,550000.0,newly repaired,Center,8,Northern Ave,3,Yerevan,140.0,http://www.myrealty.am/en/item/30495/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,other,6,3.0
4247,90000.0,newly repaired,Center,6,Verin Antarayin,2,Yerevan,76.0,http://www.myrealty.am/en/item/25224/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,2,3.2
1217,39600.0,zero condition,Malatia-Sebastia,9,A. Babajanyan St,3,Yerevan,74.0,http://www.myrealty.am/en/item/23026/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,7,2.8
4555,55000.0,good,Center,16,E. Qochar St,3,Yerevan,94.0,http://www.myrealty.am/en/item/36165/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,16,2.8
5375,120000.0,good,Center,4,Mashtots Ave,2,Yerevan,85.0,http://www.myrealty.am/en/item/21902/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,3.2
4271,58000.0,newly repaired,Center,5,M.Khorenatsi St,3,Yerevan,63.0,http://www.myrealty.am/en/item/36848/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,2.8
4631,52000.0,good,Davtashen,9,Davtashen 3 district,2,Yerevan,80.0,http://www.myrealty.am/en/item/34320/2-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,2,2.8
3081,83000.0,newly repaired,Avan,14,Tsarav Aghbyur St,3,Yerevan,110.0,http://www.myrealty.am/en/item/37673/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,2,2.8
4074,60000.0,zero condition,Center,5,Hanrapetutyan St,1,Yerevan,47.0,http://www.myrealty.am/en/item/36783/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.2
2263,54000.0,good,Center,5,Tigran Mets Ave,2,Yerevan,53.0,http://www.myrealty.am/en/item/25242/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
6486,110000.0,zero condition,Center,17,Rostom St,3,Yerevan,133.0,http://www.myrealty.am/en/item/25146/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,7,3.0
1927,155000.0,newly repaired,Center,9,Koghbatsi St,3,Yerevan,100.0,http://www.myrealty.am/en/item/12/apartment-for-sale-in-Yerevan,1,stone,3,2.8
5218,45000.0,good,Arabkir,5,A. Khachatrian St,1,Yerevan,44.0,http://www.myrealty.am/en/item/35307/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.8
6044,52000.0,newly repaired,Center,5,Sayat Nova Ave,1,Yerevan,38.0,http://www.myrealty.am/en/item/15210/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,3.2
5864,110000.0,newly repaired,Center,20,Sayat Nova Ave,2,Yerevan,82.0,http://www.myrealty.am/en/item/35082/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,11,3.0
4041,90000.0,zero condition,Center,9,Pushkin St,3,Yerevan,90.0,http://www.myrealty.am/en/item/169/apartment-for-sale-in-Yerevan,1,panel,1,2.8
1028,210000.0,newly repaired,Arabkir,7,Aygedzor St,3,Yerevan,110.0,http://www.myrealty.am/en/item/36619/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,2,monolit,6,3.0
1343,130000.0,newly repaired,Arabkir,9,A. Avetisyan St,4,Yerevan,138.0,http://www.myrealty.am/en/item/35255/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,2,monolit,6,3.0
888,35000.0,good,Avan,14,Duryan disrtict,2,Yerevan,66.0,http://www.myrealty.am/en/item/7598/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,13,2.8
2008,110000.0,newly repaired,Center,15,Aram St,2,Yerevan,55.0,http://www.myrealty.am/en/item/17961/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,11,3.0
2540,55000.0,good,Erebuni,10,Glinkayi St,2,Yerevan,72.0,http://www.myrealty.am/en/item/5480/apartment-for-sale-in-Yerevan,1,panel,4,2.8
2282,52000.0,newly repaired,Center,5,Tigran Mets Ave,3,Yerevan,70.0,http://www.myrealty.am/en/item/27882/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,3.0
6144,105000.0,newly repaired,Center,14,Argishti St,3,Yerevan,112.0,http://www.myrealty.am/en/item/33590/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,2,3.0
6686,38000.0,newly repaired,Avan,9,Acharyan St,3,Yerevan,64.0,http://www.myrealty.am/en/item/30323/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,8,2.8
2602,55000.0,newly repaired,Malatia-Sebastia,9,Gusan Sheram St,3,Yerevan,75.0,http://www.myrealty.am/en/item/17644/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,6,2.8
3224,75000.0,zero condition,Center,5,Charents St,3,Yerevan,87.0,http://www.myrealty.am/en/item/18142/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,2,3.0
5191,85000.0,newly repaired,Qanaqer-Zeytun,5,Sevak St,3,Yerevan,92.0,http://www.myrealty.am/en/item/35246/3-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,4,2.8
2667,90000.0,good,Center,6,Nalbandyan St,3,Yerevan,87.0,http://www.myrealty.am/en/item/9833/apartment-for-sale-in-Yerevan,1,stone,6,2.8
3383,69000.0,newly repaired,Davtashen,9,Davtashen 3 district,4,Yerevan,90.0,http://www.myrealty.am/en/item/21588/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,2,2.8
330,70000.0,good,Nor Norq,14,Lvovyan St,3,Yerevan,85.0,http://www.myrealty.am/en/item/32923/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,monolit,9,3.0
6381,190000.0,good,Davtashen,14,Sasna tsrer St,4,Yerevan,111.0,http://www.myrealty.am/en/item/37414/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,2,monolit,4,2.8
1507,122000.0,newly repaired,Davtashen,15,Sasna tsrer St,4,Yerevan,90.0,http://www.myrealty.am/en/item/18865/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,6,3.2
6251,165000.0,newly repaired,Center,12,Northern Ave,2,Yerevan,67.0,http://www.myrealty.am/en/item/14396/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,9,3.0
752,34000.0,good,Malatia-Sebastia,14,Z.Andranik St,2,Yerevan,66.0,http://www.myrealty.am/en/item/24446/2-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,4,2.8
6638,80000.0,good,Center,5,Paronyan St,3,Yerevan,78.0,http://www.myrealty.am/en/item/25082/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,2.8
3745,66000.0,newly repaired,Center,5,Baghramyan Ave (Kentron),2,Yerevan,64.0,http://www.myrealty.am/en/item/18902/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,2.8
6794,35000.0,good,Qanaqer-Zeytun,4,K. Ulnetsi St,2,Yerevan,56.0,http://www.myrealty.am/en/item/35908/2-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,panel,4,2.8
677,33000.0,good,Erebuni,9,Khaghagh Don St,4,Yerevan,90.0,http://www.myrealty.am/en/item/15525/4-senyakanoc-bnakaran-vacharq-Yerevan-Erebuni,1,other,7,2.8
4980,65000.0,newly repaired,Avan,14,Charents disrtict,3,Yerevan,92.0,http://www.myrealty.am/en/item/27629/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,other,3,2.8
2026,77000.0,newly repaired,Arabkir,8,Adonts St,3,Yerevan,84.0,http://www.myrealty.am/en/item/13333/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,8,3.0
5842,48000.0,good,Malatia-Sebastia,9,Z.Andranik St,3,Yerevan,72.0,http://www.myrealty.am/en/item/22466/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,5,2.8
3959,62000.0,newly repaired,Center,11,Saryan St,2,Yerevan,40.0,http://www.myrealty.am/en/item/29067/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
1228,200000.0,good,Center,11,Hin yerevantsi St,2,Yerevan,75.0,http://www.myrealty.am/en/item/16835/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,11,2.8
1379,135000.0,newly repaired,Center,14,Mashtots Ave,3,Yerevan,90.0,http://www.myrealty.am/en/item/30466/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,11,2.8
2113,40000.0,good,Davtashen,16,Davtashen 1 district,2,Yerevan,74.0,http://www.myrealty.am/en/item/34581/2-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,15,2.8
3595,72000.0,newly repaired,Center,5,NarDos St,3,Yerevan,75.0,http://www.myrealty.am/en/item/37489/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,2.8
2052,105000.0,newly repaired,Avan,10,Tsarav Aghbyur St,3,Yerevan,95.0,http://www.myrealty.am/en/item/14883/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,2,3.0
5760,113000.0,newly repaired,Center,5,Buzand St,2,Yerevan,59.0,http://www.myrealty.am/en/item/25514/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
6354,40000.0,good,Center,9,Agatangeghos St,1,Yerevan,100.0,http://www.myrealty.am/en/item/3341/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,5,2.8
2513,57000.0,newly repaired,Malatia-Sebastia,14,Tichina str,3,Yerevan,94.0,http://www.myrealty.am/en/item/29199/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,11,2.8
5548,130000.0,newly repaired,Center,4,Sayat Nova Ave,3,Yerevan,97.0,http://www.myrealty.am/en/item/26729/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
5876,125000.0,good,Center,10,Israelyan St,4,Yerevan,130.0,http://www.myrealty.am/en/item/866/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,3,2.8
2688,85000.0,newly repaired,Center,4,Nalbandyan St,2,Yerevan,47.0,http://www.myrealty.am/en/item/1993/apartment-for-sale-in-Yerevan,1,stone,2,3.2
1389,40000.0,good,Achapnyak,9,Shiraz St,3,Yerevan,94.0,http://www.myrealty.am/en/item/34979/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,3,2.8
4685,53000.0,newly repaired,Avan,9,Tsarav Aghbyur St,2,Yerevan,56.0,http://www.myrealty.am/en/item/27351/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,2,2.8
5698,95000.0,newly repaired,Davtashen,3,Dzor 1 district,3,Yerevan,87.0,http://www.myrealty.am/en/item/25743/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,2,3.2
5637,41000.0,good,Malatia-Sebastia,9,Oganov St,4,Yerevan,96.0,http://www.myrealty.am/en/item/22660/4-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,7,2.8
5342,75000.0,zero condition,Davtashen,8,Mikoyan St,4,Yerevan,115.0,http://www.myrealty.am/en/item/28269/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,2,3.2
2347,105000.0,newly repaired,Center,5,Koryun St,3,Yerevan,105.0,http://www.myrealty.am/en/item/17310/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,4,2.8
1592,128000.0,zero condition,Center,21,Sayat Nova Ave,2,Yerevan,86.0,http://www.myrealty.am/en/item/33004/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,14,2.8
1510,59000.0,newly repaired,Center,9,NarDos St,1,Yerevan,67.0,http://www.myrealty.am/en/item/37548/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,8,2.8
2805,105000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,91.0,http://www.myrealty.am/en/item/33774/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,7,3.0
5230,45000.0,newly repaired,Davtashen,9,Davtashen 1 district,3,Yerevan,78.0,http://www.myrealty.am/en/item/32055/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,1,2.8
6588,105000.0,newly repaired,Center,4,Saryan St,3,Yerevan,110.0,http://www.myrealty.am/en/item/15303/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.0
904,34000.0,good,Avan,9,Isahakyan district,2,Yerevan,60.0,http://www.myrealty.am/en/item/35638/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,3,2.8
1829,125000.0,newly repaired,Center,5,Abovyan St,3,Yerevan,90.0,http://www.myrealty.am/en/item/34421/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
2958,85000.0,newly repaired,Center,6,Vardanants St,3,Yerevan,76.0,http://www.myrealty.am/en/item/20461/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,6,3.0
481,48000.0,newly repaired,Center,14,Argishti St,2,Yerevan,52.0,http://www.myrealty.am/en/item/19970/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,6,3.0
4987,88000.0,newly repaired,Davtashen,11,Davtashen 4 district,3,Yerevan,107.0,http://www.myrealty.am/en/item/34050/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,4,2.8
1043,160000.0,good,Center,16,Buzand St,2,Yerevan,80.0,http://www.myrealty.am/en/item/16059/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3.0
6180,62000.0,newly repaired,Davtashen,14,Davtashen 4 district,4,Yerevan,112.0,http://www.myrealty.am/en/item/32624/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,8,2.8
4746,50000.0,good,Nor Norq,5,Totovents St,2,Yerevan,66.0,http://www.myrealty.am/en/item/35338/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,4,2.8
5049,80000.0,newly repaired,Malatia-Sebastia,14,Z.Andranik St,3,Yerevan,82.0,http://www.myrealty.am/en/item/25560/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,2,2.8
1513,40000.0,good,Shengavit,5,Mantashyan alley,3,Yerevan,69.0,http://www.myrealty.am/en/item/27215/3-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,4,3.0
4833,50000.0,newly repaired,Center,10,Israelyan St,1,Yerevan,55.0,http://www.myrealty.am/en/item/29707/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,1,2.8
777,37000.0,good,Nor Norq,5,Jrvej district,3,Yerevan,76.0,http://www.myrealty.am/en/item/28154/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,2,2.8
1396,150000.0,newly repaired,Center,4,Tumanyan St,3,Yerevan,101.0,http://www.myrealty.am/en/item/21361/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
6299,165000.0,newly repaired,Center,5,Antarayin St,3,Yerevan,145.0,http://www.myrealty.am/en/item/34459/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,5,3.2
